title,text,subject,date
Airbus cuts nearly 500 UK jobs to reduce costs,"It has made the cuts mostly to its space division and says there are no ""compulsory"" losses planned.",Future,11/13/2024
"Drivers paying more than they should for fuel, says watchdog","Fuel retailers' profit margins remain ""stubbornly high"", the competition watchdog says.",Sussex,11/6/2024
Students primed to design and build F1 car,Students will be divided into 18 teams to build cars powered by a CO2 canister.,Business,12/6/2024
"Survey shows wild wallaby population likely 1,000",The latest drone survey finds a further 297 of the animals outside of the Ballaugh Curraghs area.,Jersey,12/6/2024
Funding boost for radiotherapy research team,The £2.9m grant from Cancer Research UK is the second tranche of investment in the Leeds centre.,England,12/6/2024
Bidders line up for struggling Thames Water,The water firm has received multiple bids as it faces running out of money next year.,Technology,12/6/2024
Bidders line up for struggling Thames Water,The water firm has received multiple bids as it faces running out of money next year.,Nottingham,11/29/2024
No Guinness shortages for Northern Ireland's pubs,Supplies of Guinness to pubs in Great Britain have been limited due to a surge in demand.,Business,11/21/2024
"Average house price hits record high of £298,083","The UK's largest mortgage lender said the average house price hit £298,083 last month.",Liverpool,11/18/2024
Met Police apologises to honeytrap victims over email,"The honeytrap involved flirtatious messages targeting up to 20 MPs, staffers and political journalists.",Newsbeat,11/28/2024
The babies born 18 weeks early – and surviving,"The success rate is ""incredibly high"" at one of the best units caring for the most premature babies.",US & Canada,11/13/2024
McLaren F1 teen hopes to inspire other women,Ella Lloyd is in the all-female F1 Academy and hopes to be among the first female drivers.,Technology,12/2/2024
Typhoo Tea falls into administration as sales slide,The 120-year-old British tea brand has suffered from falling sales and widening losses.,Wear,12/2/2024
Murderer granted new appeal hearing after 35 years,Investigators say a DNA profile does not match the man convicted of murdering Diane Sindall in 1986.,Coventry & Warwickshire,12/2/2024
How to avoid being a toxic friend,A few simple steps to improve your relationships can help make sure you are the kind of friend you would wish to have yourself.,Future,11/27/2024
How to avoid being a toxic friend,A few simple steps to improve your relationships can help make sure you are the kind of friend you would wish to have yourself.,South Scotland,11/30/2024
A father’s grief after daughter killed in accidental drone strike,"Villagers remain scarred a year after the military mistook them for jihadists, killing 85 people.",Climate,11/29/2024
Man arrested after secret filming shared on TikTok,A BBC North West investigation found the videos had millions of views and attracted misogynistic comments.,Future,11/14/2024
'It's another London tradition that will go',Smithfield and Billingsgate markets are set to shut after centuries - what is their history?,Future,11/11/2024
'I couldn’t stop watching': Personal stories of how porn obsession takes over lives,What happens when watching porn takes over your life?,Wear,11/12/2024
Building more prisons not answer to crisis - Gauke,"The man in charge of reviewing sentencing says a more ""strategic"" approach to prisons is needed.",Innovation,11/11/2024
India says not nervous about working with Trump,Modi and Trump share cordial relations but India and the US also saw bitter tariff wars under their leadership.,Devon,11/7/2024
Air ambulance hopes for new cardiac equipment,Air Ambulance Charity Kent Surrey Sussex wants to introduce new life-support kit for cardiac patients.,Business,11/22/2024
Ceremony marks 'birth' of Scilly vessels,Two new boats which will cross from Penzance to the islands are due to come into service in 2026.,Guernsey,11/14/2024
What Elon Musk could gain from Trump's presidency,"One of the president-elect's most visible supporters, Musk could be given a role in Trump's White House.",England,11/25/2024
Temu owner's shares slump as China slowdown hits sales,US-listed shares of the e-commerce giant fell nearly 11% on Thursday following the announcement.,US & Canada,11/7/2024
Board formed to champion city's music industry,The group also aims to raise the profile of the city's creative industry.,Jersey,11/26/2024
Barclays fined £40m over 'reckless' fundraising,The UK's financial watchdog says investors did not have all the information they should have had.,Culture,11/26/2024
Ships to plug in at port to beat pollution,The aim is to reduce pollution and improve air quality across the city.,Business,12/2/2024
The 1969 mission to save Vermont's wild turkey,"In 1969, a bold plan to restore Vermont's wild turkeys began with a handful of net-trapped birds from New York. What did Vermont get right?",Business,12/2/2024
The existential choices facing small island states,"From erecting seawalls to selling citizenship, vulnerable small islands are taking sometimes drastic measures to protect themselves from rising seas, storms and economic devastation.",Innovation,12/4/2024
Industry helps young people forge digital careers,Professionals will mentor students through a digital project at 10 schools across East Sussex.,Technology,11/8/2024
Typhoo Tea to be rescued by vape maker for £10m,The firm behind e-cigarette brand 88Vape will buy the tea business after it fell into administration.,Business,11/3/2024
Islanders urged to use location app in emergencies,Jersey's fire service says What3Words helps people to give a precise location in an emergency.,Business,11/16/2024
Blue plaque for 'man on the Moon' scientist,Francis Bacon receives a plaque in recognition of his fuel cell that helped to put man on the Moon.,Business,11/28/2024
DNA-testing site 23andMe fights for survival,Once millions used it to find out about their family histories - this week it was almost delisted. What went wrong?,"Beds, Herts & Bucks",12/3/2024
‘That was so dramatic’ Korea's T1 wins League of Legends World Championships 2024,Millions of fans watched the team secure their fifth victory in the world's most popular esports event.,Europe,12/4/2024
'Lifesaving procedure means I'll see grandchild',Stroke patients Kevin Freestone and Angela Bradbury reunite with the hospital staff who saved them.,Business,12/5/2024
Czech billionaire closes in on deal to buy Royal Mail,Daniel Kretinsky is understood to have offered a series of concessions to the UK government.,Africa,11/24/2024
"Massive Elon Musk donation news to me, says Farage",Claims the X mogul is planning to donate $100m to Reform UK are dismissed by party leader Nigel Farage.,Business,11/3/2024
Three more hospitals hit by cyber attack,Screenshots of data the attackers claim to have taken were published online on Thursday.,Business,11/27/2024
Angryginge13: 'It's getting harder to become a big streamer',"One of the UK's biggest streamers warns others to get into it for the love, not the money.",Coventry & Warwickshire,11/11/2024
Can RFK Jr make America's diet healthy again?,Kennedy's plans to ban dyes in cereals and fluoride in water could get major pushback from the food industry.,Guernsey,12/4/2024
DNA-testing site 23andMe fights for survival,Once millions used it to find out about their family histories - this week it was almost delisted. What went wrong?,Future,11/16/2024
Could drones be used to catch anti-social bikers?,Durham Police and Crime Commissioner Joy Allen says the ultimate aim is to crush the nuisance bikes.,Wales,11/17/2024
'Highly flammable' cladding behind £450k bill,"The cladding is on a building which will house SEND students, Warwickshire County Council says.",US & Canada,11/29/2024
The dark secret behind the 'bison skull mountain',The photo of two men standing on a mountain of bison skulls is well known as a symbol of hunting during colonisation of the US. But there's a more sinister story that lies behind it.,Business,11/18/2024
Helping to save lives at sea with data from space,A rescue team in southern Scotland is part of a pioneering project to help cut response times.,Business,11/27/2024
"'The sixth great extinction is happening', conservation expert warns",Conservationist Jane Goodall on the urgent need to turn the tide on climate change and nature loss.,Future,11/1/2024
Teaching rats to drive taught scientists about joy,Teaching rats to drive a tiny car around a laboratory taught scientists a lot about the benefits of anticipating the joy brought by the things we love.,Norfolk,11/4/2024
How climate cash compares to fossil fuel revenues,"As countries negotiate a new global goal to raise climate cash, these five charts show why discussions are so fraught.",Culture,11/26/2024
Could drones be used to catch anti-social bikers?,Durham Police and Crime Commissioner Joy Allen says the ultimate aim is to crush the nuisance bikes.,Guernsey,11/11/2024
An eco-friendly plant-based alternative to plastic,"PlasticFri, a green tech company based in Sweden, has developed a plant-based alternative to plastic.",Opening Bell,11/11/2024
Twins submit altitude record attempt application,"Ross and Hugo Turner take a paraglider-style aircraft to 8,000ft in the French Alps.",Business,11/13/2024
Trump proves he is serious on tariffs - but it's not about trade,"The US president-elect is using tariffs as a weapon of diplomacy, even coercion, says BBC economics editor Faisal Islam.",Isle of Man,11/21/2024
Class sizes increasing due to 'bulge of students',"Larger numbers of pupils than previously are entering secondary schools in Guernsey, a deputy says.",Cricket,11/28/2024
"Wessex Water fined £500,000 over fish deaths",The company is handed its second biggest fine over the deaths of thousands of fish in two rivers.,Asia,11/20/2024
Why is Elon Musk becoming Donald Trump's efficiency tsar?,"The tech billionaire joins the incoming administration to ""dismantle government bureaucracy"" - but what's in it for both of them?",Future,11/21/2024
'Significant concerns' over Sure mobile network issues,The Jersey Competition Regulatory Authority has completed its investigation into a series of outages in 2023.,Business,11/4/2024
The hard-working origins of the blue-collar jacket,"How the humble barn jacket, chore coat and donkey jacket all went from functional workwear to ""It-item"". As a trend, is it appropriation – or a homage to history?",Business,11/1/2024
TV networks MSNBC and CNBC to be spun off by Comcast,"Channels including USA, Oxygen, E! and Syfy will also be moved to the new media company.",Business,11/4/2024
Archegos boss sentenced to prison over massive fraud,Hwang was found guilty of fraud in a case that cost Wall Street banks billions of dollars in losses.,Future,10/31/2024
The environmental campaigners fighting against data centres,A growing global movement is seeing people object to data centres in their locality.,England,12/2/2024
An eco-friendly plant-based alternative to plastic,"PlasticFri, a green tech company based in Sweden, has developed a plant-based alternative to plastic.",Surrey,12/3/2024
Motorway to close overnight for maintenance,The motorway between the M3 interchange and Whiteley will be shut eastbound on Tuesday night.,Essex,12/6/2024
Russia fines Google more money than there is in entire world,The mind-boggling figure has been levied due to the company restricting Russian state media on YouTube.,Business,12/6/2024
House prices surprise with fastest rise for two years,"The price of a typical UK home rose by 3.7%, says Nationwide, despite ""stretched"" affordability.",Business,12/3/2024
Musk's record $56bn pay deal rejected for second time,"The judge upheld her previous decision, saying board members who set the pay were too heavily influenced by Mr Musk.",Europe,11/29/2024
Electric cars make up one in four sold in November,Sales of electric vehicles grow for the eleventh straight month as manufacturers offer steep discounts.,Nottingham,11/19/2024
Football chairman fined for gun photo in programme,Real Bedford’s chair Peter McCormack was also penalised for using abusive language.,Asia,11/28/2024
"Russian spies surveilled Ukrainian troops at US base, trial hears","Bulgarian nationals Katrin Ivanova, Vanya Gaberova, and Tihomir Ivanchev, deny a conspiracy to spy.",Surrey,11/19/2024
"Millions to see mortgage costs rise, says Bank",About 4.4 million UK households could see their repayments increase by 2027.,Health,10/31/2024
From political outsider to Ghana's 'Mr Digital',Presidential candidate Mahamudu Bawumia hopes he can silence his critics once more to become Ghana's leader.,England,11/23/2024
Pension credit applications rise but many rejected,A big jump in pensioners applying for the means-tested benefit came after ministers limited winter fuel payments.,Wiltshire,12/3/2024
Popular weight-loss drug Wegovy goes on sale in China,"There are 180 million people living with obesity in China, who will now be able to purchase the treatment.",Hampshire & Isle of Wight,11/10/2024
Budget concerns over city's planned gigafactory,The chancellor promises money for green technology but makes no mention of the Coventry scheme.,Arsenal,11/19/2024
HSC given three months to improve data requests,An investigation found HSC failed to supply a person with their full records,Hampshire & Isle of Wight,11/8/2024
The women saving India's endangered giant yams,"In a tribe in southern India, a group of women are working hard to revive the country's ancient native tubers, and bring them back into everyday culture.",England,11/18/2024
Lynette White murderer release won't be reviewed,Jeffrey Gafoor has served 21 years in prison for the murder of Lynette White.,Business,11/4/2024
Thousands of postal workers in Canada strike over wages,The work stoppage has halted mail and parcel services across the country ahead of the busy holiday season.,Business,10/29/2024
China is trying to fix its economy - Trump could derail those plans,"Trump won the election on a platform of steep import taxes, including tariffs as high as 60% on China.",South Yorkshire,11/3/2024
Seven-year-old gets job offer from Russian IT firm,"The software company's boss said Sergey, who teaches coding in online videos, was ""a kind of Mozart"".",Technology,11/27/2024
How images alter the way you think,The images we are exposed to on social media and internet websites have a surprising influence on the way we view the world.,England,11/19/2024
Noise-detecting CCTV could be expanded after trial,The technology uses microphones to detect and film drivers unnecessarily revving engines.,Future,10/31/2024
Grants for tech solutions which aid business,"Digital Jersey says up to £500,000 is on offer through the CXTech project.",Future,11/9/2024
How a 1990s Swan Lake changed dance forever,"Celebrating the 30th anniversary of his legendary stage production, Matthew Bourne tells the BBC about the show that radically changed ballet with one ""big idea"".",Business,11/2/2024
Sexual offence rumours online unfounded - police,"Guernsey Police dismisses ""rumours"" the force is investigating a group of islanders for sexual offences.",World,11/8/2024
"Wariness of AI is overblown, expert suggests - 31 Oct 2024",Investment strategist suggests wariness of AI is overblown and that technology firms will be the profit-makers.,England,11/22/2024
Energy storage plan delayed due to fire concerns,"One West Lindsay councillor says the proposed plant at Reepham could lead to ""a major disaster"".",US & Canada,11/4/2024
Quiet shopping hours introduced at telecom store,"Manx Telecom now has ""quiet hours"" to make shopping more accessible for neurodivergent people.",Gloucestershire,11/12/2024
Zoo's new science centre to help endangered species,The Chester Zoo centre will play a role in the conservation of the world’s most under-threat animals.,England,12/8/2024
India in control against Australia as bowlers rally,Australia collapse to 67-7 as India take control of the first Test in Perth despite being dismissed for just 150 on an extraordinary opening day.,Business,12/2/2024
Why it costs India so little to reach the Moon and Mars,India has approved 227bn rupees ($2.7bn) for new space projects - but the funding is far from lavish.,Business,11/15/2024
The hidden power of a to-do list,"If you find it hard to get to sleep, then a solution might be at hand – a pen and paper.",Business,11/12/2024
'It’s an old person's drink.' Is Britain's love for tea cooling off?,Experts say tea has been in decline for years as younger people prefer alternatives.,Culture,11/28/2024
Oldest Post Office victim offered a third of payout,91-year-old Betty Brown says she's been offered less than a third of what she had claimed in compensation.,Business,11/7/2024
Typhoo Tea teeters on the brink of administration,The loss-making firm is attempting a turnaround amid a break-in and fire at its former factory.,Wales,11/4/2024
The hidden power of a to-do list,"If you find it hard to get to sleep, then a solution might be at hand – a pen and paper.",Business,11/11/2024
MPs told 'child online bullying is rife',"Lola McEvoy, MP for Darlington, tells Parliament online safety is the ""defining issue of our time"".",Future,12/2/2024
Police headquarters revamp given go-ahead,"The force has opted to stay at Mount Browne, which has been its headquarters for more than 70 years.",Business,12/4/2024
Seafront regeneration scheme set to begin,Improvement work to improve the town's esplanade is due to start on 4 November.,Business,12/6/2024
Teen celebrates birthday after beating cancer,Harley marks his 14th birthday at home in Essex after years of spending his special day in hospital.,Business,11/12/2024
Oldest Post Office victim offered a third of payout,91-year-old Betty Brown says she's been offered less than a third of what she had claimed in compensation.,Newsbeat,11/11/2024
Interest rates forecast to be higher for longer due to Budget,"Measures in the Budget will boost growth in the short-term, but interest rates will fall more slowly, it says.",Future,11/8/2024
EU tries to get closer to South America with trade deal,The pact promises lower tariffs but may still meet resistance from European countries.,Wales,11/13/2024
New plant captures carbon dioxide for fizzy drinks,The new electricity plant plans to use the gas rather than releasing it into the atmosphere.,Business,11/1/2024
India's luxury airline Vistara flies into the sunset,Vistara is operating its last flight on Monday as it completes its merger with Air India.,Highlands & Islands,11/4/2024
MP criticises 'shambles' of roadworks near A3,"The MP says road works have residents ""tearing their hair out"".",Technology,11/28/2024
NHS managers to be sacked in failing hospitals,"Hospitals in England will be ranked on care and finances, so patients can look for good service.",Wales,10/11/2024
"Snapchat most-used app for grooming, says NSPCC","The children's charity says the police data shows people are ""still waiting"" for social media to be made safe,",Gloucestershire,11/6/2024
Smartphone device speeding up throat cancer tests,Trials of the iPhone attachment are being carried out in the West Midlands.,Culture,10/11/2024
Call for laptop donations as Christmas nears,"Wiltshire Digital Drive says donating laptops to those in need can ""transform someone's future"".",Business,11/4/2024
Cutting-edge technology powers GB to America's Cup,Carrington Boats build racing yachts that will be skippered by Ben Ainslie in the America's Cup.,Future,11/22/2024
Arsenal Women forced to move tie over stadium clash,Arsenal Women are forced to move their high-profile Champions League game against Bayern Munich next month away from Emirates Stadium because of a scheduling clash with the men's team.,Lancashire,11/13/2024
Cutting-edge technology powers GB to America's Cup,Carrington Boats build racing yachts that will be skippered by Ben Ainslie in the America's Cup.,London,11/25/2024
Smartphone device speeding up throat cancer tests,Trials of the iPhone attachment are being carried out in the West Midlands.,Leicester,11/2/2024
Shop sales fall in October as Budget fears hit spending,"Sales volumes fell by more than expected in October with clothing stores having a ""notably poor"" month.",Hull & East Yorkshire,11/1/2024
Inflation progress stalls in US in October,"Prices in the US rose 2.6% over the 12 months to October, driven by more expensive food and groceries.",Gloucestershire,11/7/2024
Campaign targets online abuse of women and girls,South Yorkshire Police say more people must know what online abuse is and how to report it.,Business,10/31/2024
Law firm finds grooming claims against MrBeast co-host baseless,The YouTuber hired the firm to look into claims that a co-host had sent inappropriate messages to a minor.,Wales,10/31/2024
"Snapchat most-used app for grooming, says NSPCC","The children's charity says the police data shows people are ""still waiting"" for social media to be made safe,",Business,11/22/2024
Artificial intelligence 'spotted' my breast cancer,"Hospital trust is using AI to improve breast cancer screening by spotting cancer that human ""readers"" might miss.",Business,11/10/2024
The weird way AI assistants get their names,Amazon has called its latest AI assistant Rufus. But what is the story behind this unusual moniker and how does it compare to the way other AIs have been named?,Technology,12/3/2024
The weird way AI assistants get their names,Amazon has called its latest AI assistant Rufus. But what is the story behind this unusual moniker and how does it compare to the way other AIs have been named?,Future,11/14/2024
Shop sales fall in October as Budget fears hit spending,"Sales volumes fell by more than expected in October with clothing stores having a ""notably poor"" month.",Liverpool,11/29/2024
Putin offers African countries Russia’s ‘total support’,The comments were delivered at a gathering of foreign ministers as the Kremlin continues to woo Africa.,Cumbria,11/10/2024
Guitars owned by Massive Attack musician for sale,"Angelo Bruschini's collection, which includes guitars and amplifiers, will be sold at auction.",Guernsey,12/2/2024
Why Canada could become the next nuclear energy 'superpower',"With its rich resources, uranium mining companies want Canada to play a key role in fuelling nuclear reactors worldwide.",N/A,12/5/2024
Bereaved mum's social media battle to be debated by MPs,Ellen Roome is hoping to find answers and create a lasting legacy for her son.,N/A,11/21/2024
Carer changes track to land dream tram driver job,"Chris Bruce, from Halesowen, says it is his dream job after retraining through a college course.",N/A,11/11/2024
Stellantis boss abruptly quits in boardroom clash,"Carlos Tavares will leave immediately, days after announcing plans to close a Vauxhall plant in Luton",N/A,11/20/2024
Boeing plea deal over fatal Max crashes rejected,"The deal undermines the court and involves ""contradictory"" diversity requirements, a judge ruled.",N/A,11/18/2024
Three water firms blocked from using customer money for bonuses,The regulator Ofwat's new powers prevent bonuses being funded from customer bills.,N/A,11/27/2024
Critics say Gladiator II is 'gobsmacking' and 'loopy',"Some critics agree that while the film is an enjoyable watch, it doesn't quite live up to the original.",N/A,11/19/2024
More tenants could be excluded from Right to Buy,"The government wants to address the loss of social housing, but critics say more action is needed.",N/A,11/28/2024
Mum 'not told about outbursts' before daughter's death,Megan Evans was found dead at her family home after allegedly being bullied on social media.,N/A,11/22/2024
"Loyalty cards offer genuine savings, watchdog says",Supermarket customers can save money with loyalty cards but should still shop around.,N/A,11/28/2024
Why the Big Apple was once the Big Oyster,"Over the course of 10 years, the Billion Oyster Project, one of New York's most ambitious rewilding initiatives, has planted 150 million larvae in its harbour. Did it work?",N/A,11/26/2024
UK electric car production drops with firms 'under pressure',"The trade body for the sector says these are ""deeply concerning times"" for the UK's car industry.",N/A,11/28/2024
"'Scammers sent courier to steal £4,000'",A fraud victim tells the BBC how she used a helpline to stop scammers stealing more of her money.,N/A,11/22/2024
"Uniqlo does not use Xinjiang cotton, boss says","It is the first time the CEO of the chain's owner, Fast Retailing, has directly addressed the issue.",N/A,10/30/2024
MrBeast says game show allegations 'blown out of proportion',Beast Games is set to stream next month amid allegations contestants were mistreated on set.,N/A,11/20/2024
Bringing back California's mighty condor,"For the first time in 100 years, California condors flying over Yurok land, thanks to an intensive reintroduction programme.",N/A,11/12/2024
"No bullying evidence in girl's death, says coroner","An inquest finds ""nothing to suggest targeted abuse"" towards Megan Evans, 14, in school or online.",N/A,10/30/2024
University AI experts help teachers in Vietnam,Researchers at Coventry University launch a game to help educators in parts of rural Vietnam.,N/A,11/19/2024
Faisal Islam: The cost-of-living crisis isn't over,"Inflation is easing, but many people are still struggling to afford the basics.",N/A,11/4/2024
'First' mobile coverage for parts of Western Isles,Virgin Media O2 has installed a communications mast on South Uist as part of a £1bn UK project.,N/A,11/14/2024
'Sickening' Molly Russell chatbots found on Character.ai,"The foundation set up in her memory said it would cause ""further heartache to everyone who knew and loved Molly"".",N/A,11/26/2024
Teenager 'picked on by teachers' before death - inquest,Megan Evans was found dead at her family home after allegedly being bullied on social media.,N/A,11/14/2024
Major financial boost for £1bn cyber development,The government confirms £20m Levelling Up funding for GCHQ's Golden Valley Development.,N/A,11/15/2024
How everyday clothing is becoming more luxurious,"Influential designer and creative director Clare Waight Keller on her move from Givenchy to Uniqlo and ""re-defining what luxury is today"".",N/A,11/14/2024
Reeves tells firms no more tax rises as she defends Budget,"Chancellor Rachel Reeves tells the CBI conference she is ""not coming back with more borrowing or more taxes"".",N/A,12/4/2024
The mountaineers collecting hard-to-reach data,Collecting data from the most extreme places on Earth can require the skills of the most extreme outdoor enthusiasts.,N/A,12/3/2024
Cyber schemes among projects getting £20m windfall,The government money is part of plans for Lancashire's Combined County Authority.,N/A,12/5/2024
'My daughter was branded a terrorist',Clare Rogers' daughter was arrested after allegedly taking part in direct action at an Israeli defence firm.,N/A,11/30/2024
Mistaken identity led to school's esports course,Emily Coulson was mistaken for professional gamer Luka Perković due to their similar online handles.,N/A,12/3/2024
The young adults saving unwanted tech from the tip,"Volunteers, many on the autistic spectrum, are cutting e-waste by refurbishing PCs and phones.",N/A,12/3/2024
Footballers being supported amid online abuse,A club has launched a new scheme to listen to players and help.,N/A,12/5/2024
Five ways to persuade more people to buy electric cars,"Demand for electric cars is lower than expected, the industry says. What might help to boost sales?",N/A,10/30/2024
Bitcoin miner sues over £600m 'lost in tip',James Howells believes the hard drive is now worth about £600m since the recent Bitcoin surge.,N/A,12/1/2024
Stunning or rubbish? Jaguar's new concept car divides opinion,"The carmaker's new look is praised as ""exciting"" but others say it should ""go back to the drawing board"".",N/A,11/5/2024
One in five shop purchases now made in cash,"Notes and coins used in a fifth of transactions, say retailers - a second consecutive annual rise.",N/A,11/12/2024
'Sickening' Molly Russell chatbots found on Character.ai,"The foundation set up in her memory said it would cause ""further heartache to everyone who knew and loved Molly"".",N/A,11/1/2024
The overlooked benefits of real Christmas trees,"The environmental pros and cons of Christmas trees go far beyond the climate impact of ""real or plastic"", scientists say. So what's the best choice for a green Christmas?",N/A,11/8/2024
Dog sniffs out alleged drone-smuggling prison plot,"The dog found a man in the bushes on land near HMP Liverpool, Merseyside Police say.",N/A,6/14/2024
Nuclear site holds emergency exercise,People living nearby may hear the emergency siren and the site is likely to be in lockdown.,N/A,4/16/2024
The house paints that promise much more than colour,"Paints now promise to make your house cooler, warmer, or simply peel off.",N/A,8/22/2024
WWII codebreaker still finds secret hard to share,Marjorie Dodsworth cracked German codes during World War Two and still finds it hard to talk about.,N/A,4/2/2024
